Id;name;leftDaughter;rightDaughter;angleYMother;geometryType;length;radiusProximal;radiusDistal;N;complianceType;constantCompliance;externalPressure;Ps;As;betaHayashi;distensibility;wallThickness;youngModulus;betaLaplace;betaExponential;applyGlobalFluid;my;rho;gamma
unit;;;;#rad;;#m;#m;#m;;;;#Pa;#Pa;#m2;#Pa;#Pa-1;#m;#m2;#Pa;;;#Pa s;#kg m-3;
0;parentVessel;;;0.0;uniform;0.2;0.0147;0.01;20.0;Laplace2;False;0.0;1333.2;;1.0;;0.00163;400000.0;;;True;1e-06;1050.0;
